country,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,best_gdp
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3521418059.923445,2813571753.8725324,3825701438.9996333,4520946818.545814,5224896718.67782,6203256538.709669,6971758282.293506,9747886187.393929,10109297047.543194,12416152732.056717,15856668555.833595,17805098206.314083,19907329777.587166,20146416757.598675,20497128555.69723,19134221644.732494,18116572395.077213,18753456497.815865,18053222687.412624,18799444490.11278,19955929052.149597,14266499429.874573,14502158192.090395,,20497128555.69723
Africa Eastern and Southern,AFE,21216962289.557568,22307471355.677887,23702472100.00225,25779376632.721806,28049537324.857388,30374910059.50781,33049155473.49756,35933757401.763115,38749864977.02208,42964345101.172485,43702318276.33526,47632993912.839836,51627511756.53952,66610917871.45372,81658052383.2557,86883552689.31955,88290755580.51631,98868135189.60689,110802408134.92651,129780974539.91113,168165164238.41312,177750099368.1483,169302766914.39493,179897833535.12735,166208098815.07916,143249519478.30722,154792610860.847,185812458342.95532,202092611345.54083,214473497464.09412,251211844157.14008,273542601824.32535,239433170776.1275,240271389187.3809,243564813413.46658,273433056168.81357,272519342675.99292,288405283765.89685,268833638136.3681,265429291621.99844,287201651448.6776,260992227336.28116,267815037918.23975,355716369427.6711,442696185471.3294,516661066465.53375,580240749509.2242,665598701583.95,713502105052.1711,715485327250.4055,849409658737.6615,945439147816.6128,952675592818.5546,963347276805.0762,979689662429.07,899295676086.8356,829829959319.292,940105480733.6758,1012719339457.7202,1006527294483.0852,929074086484.0929,1086772164579.8655,1183962133998.8745,1236163044999.9653,1236163044999.9653
Africa Western and Central,AFW,11884128412.35638,12685662254.548326,13606829296.953465,14439975113.762861,15769107619.64432,16934480009.67512,18048039301.765327,16495768073.440899,17022696447.026133,19301308226.682056,26697107727.570538,24507115744.83988,29493915342.496857,36902672687.493515,49688193508.801125,57280847233.578964,68386320009.24413,71790695539.89362,78779099935.40501,96682239143.4334,120501079996.36249,216911025160.50128,195917937082.07242,151222762742.84464,131218159345.53032,137802915765.2076,109237001606.11678,112294774121.17484,111227154884.74722,103934371464.60721,123711320144.87407,129942000513.29407,124599388202.38704,129732548073.78473,134776896049.75278,207176985178.4386,262600907503.91547,275742235273.20044,296152435737.04504,139468348132.66046,142140083285.94757,149451860838.10855,178692437188.28018,206982053949.06894,256100640349.77148,312409315139.6122,397088785487.80707,465683513908.3415,567937963599.4514,508552578501.96185,598697706331.0016,682233324561.0428,737799647336.1948,834160608935.9955,894585438237.9581,769367317617.821,692181085843.4884,685750159763.1329,768189587833.6237,823933630796.516,787146719022.4213,845993047006.8054,877140805320.3569,796586157553.094,894585438237.9581
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,1857337995.3379953,1897050116.5501165,2097326250.0,2080796249.9999998,2051236250.0,2253090000.0,2028553750.0,1099559027.7777777,652174990.8373039,1185315468.4629517,1880950864.4131145,2392764853.421074,3199640815.4162974,2258513974.0967965,2545964540.883832,3212121650.9775524,3480355258.0412197,3922100793.5403037,4348068242.195123,5611496257.142313,7184685781.518761,8052077248.146379,8896075004.635162,10677324852.882233,12881352893.68551,12044205549.65712,11926926615.801525,12890760315.146019,12319834195.331005,12776224496.97176,13228147516.116798,11386853113.0189,11861199830.83956,13019726211.736889,15156424015.197748,15401826127.253857,15162734205.246202,17930565118.81762,18916378860.54883,22977677860.797855,22977677860.797855
Algeria,DZA,2723615451.3009768,2434747055.940175,2001444543.9188507,2702982017.6380277,2909316435.287398,3136284306.8546867,3039859187.4516416,3370870376.296824,3852147026.773019,4257253264.088344,4863526896.574075,5077183093.889678,6766743956.8888855,8707858912.12481,13209871625.904444,15557902754.033009,17728240932.315838,20972113684.955814,26364491313.447136,33243706859.659607,42345829079.206245,44348590460.92876,45207167470.34967,48801369800.36752,53698548293.07447,57937868670.193726,63692007897.383354,66745818375.492966,59089396860.43423,55634721572.734276,62048507531.33572,45715676428.276596,48003133346.995735,49945584452.65057,42543176828.923744,41764291671.77111,46941554225.35815,48177612042.15065,48187781984.48805,48640671734.971115,54790398570.328224,59413400923.63635,61516103406.16878,73482264190.92455,91913680985.17082,107046618669.707,123084258693.00974,142482739809.84927,180383848331.13458,150317292079.35913,177785053939.53052,218331946925.30356,227143746075.93402,229701430292.1566,238942664192.59,187493855609.34464,180763839522.15082,189880896903.0733,194554483655.52774,193459662090.67682,164873415325.20148,186265418570.69662,225560256621.7572,239899491127.74237,239899491127.74237
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,721000000.0,750000000.0,871000000.0,,871000000.0
Andorra,AND,,,,,,,,,,,78617711.09653251,89406608.14581512,113414397.3656347,150841639.29744396,186557081.99813673,220112572.20533124,227283850.83127123,253997897.22696805,308020261.16414887,411548748.3547291,446377776.79800063,388983266.19988644,375914743.5810058,327850042.5158724,330073080.6370984,346742714.67515206,481996012.869071,611299924.5405055,721425939.1515498,795489582.0449102,1028989692.0678707,1106891361.5394838,1209992020.2954278,1007090269.8695563,1017544068.8407956,1178745282.8678029,1224024139.2129533,1180645571.8643036,1211953994.0571387,1240295103.079385,1432606188.693242,1548265808.0580215,1764279824.297522,2366941808.944043,2900245324.492212,3161084091.1167426,3459337986.4494796,3957625367.2195907,4102319399.0234303,3688976340.754897,3449925738.860686,3629133574.2778273,3188652765.361844,3193512950.024186,3271685596.6632113,2789881258.503616,2896610479.7307653,3000162081.1197567,3218419896.9641023,3155149347.806392,2891001149.361105,3324683011.5903006,3380602042.8428345,3727673593.0192156,4102319399.0234303
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5879999999.999999,4432026143.79085,5538657322.021395,6535458385.481852,7675423799.362932,6506387246.890386,6152923310.4454565,9129594970.153011,8936079117.731356,15285592370.373981,17812704586.43969,23552057679.499435,36970900883.810905,52381025141.42681,65266415494.25839,88538665084.86345,70307196181.65387,83799474069.73146,111789747670.5905,128052915766.34274,132339109040.23174,135966802586.7132,90496420506.59566,52761617225.925285,73690154990.73123,79450688259.36636,70897962732.02774,48501561203.568634,66505129987.72355,104399746853.40141,84722957642.37566,135966802586.7132
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,77496296.2962963,88033333.33333333,109585185.18518518,132440740.74074073,149377777.77777776,166425925.9259259,184848148.14814815,212192592.59259257,246344444.44444442,297537037.037037,346840740.7407407,411374074.07407403,455148148.1481481,478692592.59259254,504307407.4074074,525103703.70370364,565633333.3333333,625051851.8518518,616014814.8148148,679111111.111111,734392592.5925926,789762962.962963,835514814.8148148,900551851.8518518,877514814.8148148,897988888.8888888,947955555.5555555,1026181481.4814814,1143714814.8148148,1303548148.148148,1487300000.0,1557540740.7407405,1386444444.4444444,1298255555.5555556,1281337037.037037,1327107407.4074073,1325425925.9259257,1378829629.6296296,1437755555.5555553,1489692592.5925925,1531151851.8518515,1661529629.6296296,1725351851.8518517,1410796296.2962961,1601366666.6666665,1867733333.3333333,2033085185.185185,2033085185.185185
Arab World,ARB,,,,,,26772088212.098404,28352060773.228107,30601967880.987427,34974202379.52233,38564894020.04758,43095586226.76212,49931740624.54719,59972469492.22443,79132917458.62912,152202083224.96094,168173601402.78735,210012101145.60373,242292495289.4869,265427508130.7853,358140569341.4641,486440975212.35626,494949357407.8618,463116781558.6808,437502791694.1127,440213958688.43896,432899572101.06274,405502496535.0954,431288831867.96466,429413862085.5367,457402110666.6925,640090916280.6221,466374353043.2712,466062663007.9742,477189600616.46234,498083764817.6213,526560849591.8491,568785405470.3555,612394626427.8442,596742288704.4005,663176057519.8239,760659530858.8258,741974816657.2614,743726477660.1875,826976496725.0271,983700787595.348,1205595865007.2478,1434109187806.894,1668426022116.8896,2109171849559.7715,1822783841737.6716,2154252309110.1936,2559855182439.7764,2793775680472.1484,2857872049304.9116,2905075942181.625,2544136348540.1826,2499965913229.877,2571053716382.9434,2865543585777.9526,2898668715645.555,2576553324185.614,2969116805615.582,3613682354462.2393,3491516939569.8794,3613682354462.2393
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,109490000000.0,112988571428.57143,88416666666.66667,106213829787.23405,109029439252.33646,126928000000.0,76629657863.6557,141352654305.16275,189719984268.48453,228778917308.16986,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.17664,164657930452.78662,198737095012.28165,232557260817.3077,287530508430.568,361558037110.41925,332976484577.6189,423627422092.4897,530158122010.44244,545982375701.128,552025140252.2463,526319673731.6383,594749285413.2124,557532320662.9546,643628393281.364,524819892360.1758,447754683615.22455,385740508436.9652,487902572164.3484,631133384439.9445,640591410663.8834,643628393281.364
